"Id","TypeName","Company","BuyValue","SellValue"
1,"SJC HN - Bán Lẻ","trong nước","8,700,000","8,900,000"
2,"AVPL HN - Bán Lẻ","trong nước","8,700,000","8,900,000"
3,"SJC HCM - Bán Lẻ","trong nước","8,700,000","8,900,000"
4,"AVPL HCM - Bán Lẻ","trong nước","8,700,000","8,900,000"
5,"SJC ĐN - Bán Lẻ","trong nước","8,700,000","8,900,000"
6,"AVPL ĐN - Bán Lẻ","trong nước","8,700,000","8,900,000"
7,"KNT + KTT + Kim Giáp - Bán Lẻ","trong nước","8,700,000","8,900,000"
8,"Nhẫn Tròn 9999                              (Hưng Thịnh Vượng) - Bán Lẻ","trong nước","8,800,000","8,900,000"
9,"SJC- Bán Lẻ","Hà Nội","8,700,000","8,900,000"
10,"AVPL - Bán Lẻ","Hà Nội","8,700,000","8,900,000"
11,"Nhẫn Tròn 9999 (Hưng Thịnh Vượng) - Bán Lẻ","Hà Nội","8,800,000","8,900,000"
12,"KTT + Kim Giáp - Bán Lẻ","Hà Nội","8,700,000","8,900,000"
13,"Phi SJC","Hà Nội","8,782,000","8,822,000"
14,"Nữ Trang 9999 - Bán Lẻ","Hà Nội","8,770,000","8,900,000"
15,"Nữ Trang 999 - Bán Lẻ","Hà Nội","8,760,000","8,890,000"
16,"Nữ trang 99 - Bán Lẻ","Hà Nội","8,690,000","8,855,000"
17,"Giá Nguyên Liệu 18k - Bán Lẻ","Hà Nội","6,536,000"," "
18,"Giá Nguyên Liệu 16K - Bán Lẻ","Hà Nội","5,772,000"," "
19,"Giá Nguyên Liệu 15K - Bán Lẻ","Hà Nội","5,290,000"," "
20,"Giá Nguyên Liệu 14K - Bán Lẻ","Hà Nội","5,089,000"," "
21,"Giá Nguyên Liệu 10K - Bán Lẻ","Hà Nội","3,845,000"," "
22,"SJC- Bán Lẻ","Hồ Chí Minh","8,700,000","8,900,000"
23,"AVPL - Bán Lẻ","Hồ Chí Minh","8,700,000","8,900,000"
24,"KNT+ KTT + Kim Giáp - Bán Lẻ","Hồ Chí Minh","8,700,000","8,900,000"
25,"Nhẫn Tròn 9999 (Hưng Thịnh Vượng) - Bán Lẻ","Hồ Chí Minh","8,800,000","8,900,000"
26,"Nữ Trang 9999 - Bán Lẻ","Hồ Chí Minh","8,770,000","8,900,000"
27,"Nữ Trang 999 - Bán Lẻ","Hồ Chí Minh","8,760,000","8,890,000"
28,"Nữ Trang 99 - Bán Lẻ","Hồ Chí Minh","8,690,000","8,855,000"
29,"Giá Nguyên Liệu 18k - Bán Lẻ","Hồ Chí Minh","6,536,000"," "
30,"Giá Nguyên Liệu 16K - Bán Lẻ","Hồ Chí Minh","5,772,000"," "
31,"Giá Nguyên Liệu 15K - Bán Lẻ","Hồ Chí Minh","5,290,000"," "
32,"Giá Nguyên Liệu 14K - Bán Lẻ","Hồ Chí Minh","5,089,000"," "
33,"Giá Nguyên Liệu 10K - Bán Lẻ","Hồ Chí Minh","3,845,000"," "
34,"SJC- Bán Lẻ","Đà Nẵng","8,700,000","8,900,000"
35,"AVPL - Bán Lẻ","Đà Nẵng","8,700,000","8,900,000"
36,"KNT + KTT + Kim Giáp - Bán Lẻ","Đà Nẵng","8,700,000","8,900,000"
37,"Nhẫn Tròn 9999 (Hưng Thịnh Vượng) - Bán Lẻ","Đà Nẵng","8,800,000","8,900,000"
38,"Nữ Trang 9999 - Bán Lẻ","Đà Nẵng","8,770,000","8,900,000"
39,"Giá Nguyên Liệu 18K - Bán Lẻ","Đà Nẵng","6,536,000"," "
40,"Giá Nguyên Liệu 16K - Bán Lẻ","Đà Nẵng","5,772,000"," "
41,"Giá Nguyên Liệu 15K - Bán lẻ","Đà Nẵng","5,290,000"," "
42,"Giá Nguyên Liệu 10K - Bán Lẻ","Đà Nẵng","3,845,000"," "